substrate,Sterimol_L,Sterimol_B1,Sterimol_B5,SASA_Area,SASA_Volume,Disp_int,Disp_Volume,Disp_Area,XTB_ip,XTB_ea,XTB_HOMO,XTB_LUMO,XTB_Dipol_1,XTB_Dipole_2,XTB_Dipole_3,XTB_Electrophilicity,XTB_Nucleophilicity
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2,4.591474035326703,1.7009573630602133,6.003577378009387,390.5133548956188,584.5856737316526,18.637545991876088,239.8152717698974,253.13829352444617,12.4710133910779,4.901603369971316,-0.3729980278754423,-0.2628995780791823,-0.1330423348585689,0.1223950459381622,-0.1402464220141537,0.9741821632336086,-7.6250133910779
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:23][c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:8][c:6]2[cH:7]1,13.052741985948211,2.125010927530168,7.997615266605866,528.0840839455512,843.520218182576,20.37640867621462,370.14338096502667,375.1886383591902,11.834400458571984,5.601105954680384,-0.3450575500324254,-0.2860422937640143,0.1367000773223479,-0.0666685463193035,-0.0081273014877429,1.2024518401674438,-6.988400458571983
[c:1]1(-[c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[cH:12][n:11][cH:10][cH:9][n:8]1,6.82678468031434,1.9718547881836384,3.293494576101896,334.13250784177785,485.950541694968,18.146893554804578,195.9254773037993,210.92480363538337,12.628943982840823,4.964108878228301,-0.3574242852130996,-0.279831538109417,0.3452697088214593,0.1430188411928192,-0.0409075916504414,1.0180688080921936,-7.782943982840823
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,6.871878984532275,1.8858567635706152,5.470296395060618,296.85208963442733,423.8150730533657,17.108298039967085,169.6859167405132,185.2448785883563,12.880600179788663,3.8764632489670863,-0.3695937682991554,-0.2485366724120383,-1.4711136704054386,0.6345823347266042,0.0137668428547298,0.6929470536132146,-8.034600179788665
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:9]([cH:10]1)[cH:8][cH:7][n:6]2,8.180403271682236,1.9219687926276188,4.271530632463051,302.1320887251129,428.83224074871504,16.997588099896348,173.14148877082533,190.94342232253905,12.981794819659076,3.8961122260908954,-0.371750267947322,-0.250572259077407,1.3080446518512865,-0.7930899922349861,-0.3841786401240343,0.7104207573065761,-8.135794819659077
[CH3:1][c:2]1[cH:7][c:6]2[n:8][cH:9][cH:10][n:5]2[cH:4][cH:3]1,8.11981514085733,1.901358514614493,3.635006260362423,302.0620855847174,428.7488650661747,16.984301480059592,171.02752799586824,189.04412449598797,12.854003941386482,3.884409689074681,-0.3695527535442052,-0.2495901964406576,0.573150409068448,0.9964818316394156,0.933782395469787,0.6919480365395528,-8.008003941386482
[CH3:1][c:2]1[cH:10][cH:9][cH:8][n:7]2[c:3]1[n:4][cH:5][cH:6]2,6.873332552798621,1.880396523283326,5.4495001439980175,299.43222578385274,426.577596560243,16.953683609567243,169.97605489657693,186.84647209751404,12.86892764546308,3.8598737708813218,-0.3700713197248971,-0.2477866406480255,-0.0986056306037079,1.097478997477242,0.1791987359114159,0.6870390451428697,-8.02292764546308
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:9]([c:10]1[CH3:11])[cH:8][cH:7][n:6]2,8.305309259797482,1.9803983814726296,4.294489227870066,319.87208690791124,466.83135323693256,17.325755300928634,192.9111015310388,205.34598416593155,12.6943398680699,3.822683749567556,-0.3659495624431508,-0.2442730444645881,-1.1868947613391063,1.2643706469695204,0.3162238410828643,0.6563169655009768,-7.8483398680699
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,6.871879019011542,1.8857255948361689,5.470296681477381,297.0220926791537,424.0497111985,17.119885515564953,170.412293622852,186.04479420567776,12.88060013778128,3.8764632977183706,-0.3695937766090466,-0.2485366662075884,-1.476149419420146,-0.6016730796190553,-0.1613461619533798,0.6929470619207816,-8.034600137781279
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,6.871878971969248,1.8858320702289435,5.470297404867196,297.032093408783,424.07482749666974,17.11580417062137,169.98322342422722,185.84489885471405,12.8806001549399,3.876463228637745,-0.3695937307205378,-0.2485366428819329,-1.3584530464281974,-0.8466905418404505,-0.0691089884590122,0.6929470450988141,-8.034600154939898
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,6.871878928404944,1.885763448029132,5.470297314809807,296.8720945540462,423.83263640006095,17.066763288187104,170.16515905120153,185.54451887945484,12.880600142391192,3.8764631915181145,-0.3695937124501978,-0.2485366187339581,-1.178351186921259,1.0725041712332288,-0.1681400988134687,0.6929470334648468,-8.034600142391191
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,6.871878981700884,1.8856235175140328,5.470296873867039,296.792085854599,423.7883853337769,17.045917022501726,169.4301288846389,184.6455532913436,12.880600179648196,3.876463223833808,-0.3695938263110722,-0.2485366791946712,1.5756952960886377,-0.2528053636876222,0.1425232940905633,0.6929470467320609,-8.034600179648196
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,6.87187899970696,1.8858120335310424,5.470297399317683,296.7620872835549,423.744645243148,17.00017630122324,169.48325894648175,184.2454349684069,12.880600188522894,3.876463239344613,-0.3695937889606241,-0.2485366837823109,-1.515389499483764,-0.517677582211046,0.0516207291842064,0.6929470520262665,-8.034600188522894
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,6.871879001832515,1.885605914907708,5.4702970759148855,297.1620919384607,424.2564610625215,17.121401795506515,171.3586835633906,186.64364294735157,12.880600125624976,3.876463294607973,-0.3695937470829499,-0.2485366474190731,-1.3961768783596278,-0.7695582154035807,0.1597744194089591,0.6929470596222026,-8.034600125624975
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,6.871878975700197,1.885599750471088,5.470297077728658,297.12209424457785,424.2494674446354,17.095481462411314,170.32834188979743,185.7446955316436,12.880600165856643,3.8764632291437375,-0.3695937441234923,-0.2485366552071553,-1.4050051927753346,-0.7694424655826584,0.0312441583012072,0.6929470465383185,-8.034600165856645
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,6.871878939705052,1.885593464647555,5.470297088296924,296.8320906176355,423.8421123044216,17.070423169243277,170.3519195351101,185.44455053782525,12.880600150073606,3.876463216691223,-0.3695937121207432,-0.24853663078373,-1.2499812518430669,-0.9988049216788082,-0.08357686097015,0.6929470412559002,-8.034600150073606
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,6.871879013832404,1.8858329050287164,5.470297390898015,296.9420908925854,423.9743507158955,17.04568858951321,170.71775648673062,185.54489780773676,12.880600161212898,3.876463285837104,-0.3695938339177738,-0.2485366796260516,-1.590422591303033,-0.0390080949639868,0.1899561168614978,0.6929470614688819,-8.034600161212898
[CH3:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][c:7]2[n:8][cH:9][cH:10][n:11]12,5.097949274990156,1.9876052217855935,6.296447504177031,322.2119791179088,470.0541750638414,17.282663207635878,194.2881026661827,208.2472854708376,12.842034355558187,3.9167832537499367,-0.3693456745691176,-0.2490137225422722,-1.5423002462145776,0.2521846294014493,-0.3166716714125659,0.6994188532285329,-7.996034355558189
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]2[n:11][cH:12][cH:13][n:14]12,11.050576411129043,1.9917014669833764,5.823505783382752,412.3519547219427,621.505924759665,17.481494903567413,267.8382445668895,282.8490770239461,12.60669715921718,3.935657361136877,-0.3685280872207903,-0.2484932359752789,1.335868039819257,0.942626341881716,-0.1819926709402453,0.6764955263053425,-7.76069715921718
[c:1]1([CH2:2][CH2:3][c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[cH:10][cH:11][cH:12][c:13]2[n:14][cH:15][cH:16][n:17]12,4.752345225849695,1.7279298509201817,7.007140748325234,413.5326894889295,654.1868541770696,19.429425196650826,287.2413386839221,292.1236178078862,12.48796417501746,4.421639898595299,-0.3695788108347475,-0.2497524895490012,1.0751795299369382,0.2758951222272174,-1.103494313828024,0.8072730338231864,-7.64196417501746
[c:1]1([CH2:2][CH2:3][c:4]2[n:5][cH:6][cH:7][cH:8][cH:9]2)[cH:10][cH:11][cH:12][c:13]2[n:14][cH:15][cH:16][n:17]12,4.623808697187132,1.726196597465751,6.911522614465831,407.6623909261263,643.0078567013774,19.47218752840555,281.0607199510077,287.9159470800472,12.32760708810376,4.663056661193937,-0.3711856275455118,-0.2528395057758915,-0.9434672523247354,0.2815217612588245,0.3516432910380809,0.8687804495727905,-7.481607088103761
[O:1]=[C:2]([N:3]([CH2:4][CH3:5])[CH2:6][CH3:7])[CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14]2[n:15][cH:16][cH:17][n:18]12,6.474612401530501,3.113690908465872,8.163780152035272,474.9814103364723,747.1653292170118,18.31374112046757,327.5167600751414,335.8607699783196,12.350362826772557,4.184244373857041,-0.3692769178056942,-0.24912676883351,-1.6819422254840826,-0.632050282936168,-0.9557268172215636,0.7167002531874797,-7.504362826772555
[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]2[n:12][cH:13][cH:14][n:15]12,6.064243080273031,2.618005274626573,9.0032161795572,414.5721290416065,641.1312024908905,17.964484602124827,278.17645001520685,286.74697419671367,12.01456588924635,3.8609765964524607,-0.3571495859929998,-0.245470986830686,-1.5757791306427107,0.9952080439225168,0.3109179552352013,0.5861865906441234,-7.16856588924635
[c:1]1([CH2:2][CH2:3][O:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[cH:12][cH:13][cH:14][c:15]2[n:16][cH:17][cH:18][n:19]12,6.588080568999366,1.7612610875838777,8.012378208628016,460.2623281560719,735.1116928574527,19.34832766781264,321.71986788055835,329.1317841595375,12.480237843663986,4.6070501974574505,-0.3719454988353339,-0.2523530148452151,0.5660324911833926,-0.9972574988923468,0.4462678399321966,0.8682995958680191,-7.6342378436639855
[CH3:1][Si:2]([C:3]([CH3:4])([CH3:5])[CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][c:15]2[n:16][cH:17][cH:18][n:19]12,8.580501798132786,3.11091061697079,8.142436562388125,475.9717447310685,807.2673664090022,19.83695799347713,384.172231308097,369.1674341378808,12.02153725794216,4.033548327991172,-0.3704937612201656,-0.2502369045749372,-0.4580096853608921,-1.104937237527992,-0.8245597384860399,0.6335896702062803,-7.175537257942159
[CH3:1][Si:2]([CH3:3])([C:4]([CH3:5])([CH3:6])[CH3:7])[O:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14]2[n:15][cH:16][cH:17][n:18]12,6.404204343056851,3.452935149317054,8.893363137909146,490.6227091740684,795.705462515189,18.97150217120348,362.8003744605601,361.6559777410746,12.102402505289447,4.047305489752284,-0.3730237951813015,-0.2516281615817908,-1.3726086201721803,0.5271858402963305,0.3192788218274613,0.6471367208363309,-7.256402505289447
[c:1]1(-[c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[cH:8][cH:9][cH:10][c:11]2[n:12][cH:13][cH:14][n:15]12,6.832533013872033,2.258595429865417,5.424844305629508,380.6230514180864,574.3411914768736,18.90476304748428,240.61096469707996,251.01761084646407,12.56182481202194,4.825187598820273,-0.3699796067077548,-0.263697058824968,-1.486819905454599,-0.4861661937410333,-0.1063227416298319,0.9567014448792956,-7.715824812021941
