substrate,product,mapped_reaction,hydrogenated_atoms
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][CH:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][CH:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,"[7, 8]"
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:23][c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:8][c:6]2[cH:7]1,[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[c:6]([n:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[n:23]2)[CH2:7]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:23][c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:8][c:6]2[cH:7]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[c:6]([n:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[n:23]2)[CH2:7]1,"[2, 3, 4, 7]"
[c:1]1(-[c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[cH:12][n:11][cH:10][cH:9][n:8]1,[CH:1]1([c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[NH:8][CH2:9][CH2:10][NH:11][CH2:12]1,[c:1]1(-[c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[cH:12][n:11][cH:10][cH:9][n:8]1>>[CH:1]1([c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[NH:8][CH2:9][CH2:10][NH:11][CH2:12]1,"[1, 12, 11, 10, 9, 8]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:9]([cH:10]1)[cH:8][cH:7][n:6]2,[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[n:6][cH:7][cH:8][n:9]2[CH2:10]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:9]([cH:10]1)[cH:8][cH:7][n:6]2>>[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[n:6][cH:7][cH:8][n:9]2[CH2:10]1,"[2, 3, 4, 10]"
[CH3:1][c:2]1[cH:7][c:6]2[n:8][cH:9][cH:10][n:5]2[cH:4][cH:3]1,[CH3:1][CH:2]1[CH2:3][CH2:4][n:5]2[c:6]([n:8][cH:9][cH:10]2)[CH2:7]1,[CH3:1][c:2]1[cH:7][c:6]2[n:8][cH:9][cH:10][n:5]2[cH:4][cH:3]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][n:5]2[c:6]([n:8][cH:9][cH:10]2)[CH2:7]1,"[2, 7, 4, 3]"
[CH3:1][c:2]1[cH:10][cH:9][cH:8][n:7]2[c:3]1[n:4][cH:5][cH:6]2,[CH3:1][CH:2]1[c:3]2[n:4][cH:5][cH:6][n:7]2[CH2:8][CH2:9][CH2:10]1,[CH3:1][c:2]1[cH:10][cH:9][cH:8][n:7]2[c:3]1[n:4][cH:5][cH:6]2>>[CH3:1][CH:2]1[c:3]2[n:4][cH:5][cH:6][n:7]2[CH2:8][CH2:9][CH2:10]1,"[2, 10, 9, 8]"
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:9]([c:10]1[CH3:11])[cH:8][cH:7][n:6]2,[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[n:6][cH:7][cH:8][n:9]2[CH:10]1[CH3:11],[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:9]([c:10]1[CH3:11])[cH:8][cH:7][n:6]2>>[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[n:6][cH:7][cH:8][n:9]2[CH:10]1[CH3:11],"[2, 3, 4, 10]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][n:10]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][cH:9][n:10]21,"[2, 3, 4, 5]"
